,0,1,2,3,4
147,18446744073709572755,5582115,1706037767,1706037767,18446744073709572755
148,18446744073709572754,5610990,1706035127,1706035127,18446744073709572754
149,18446744073709572753,5628994,1706031491,1706031491,18446744073709572753
150,18446744073709572752,5628000,1706027867,1706027867,18446744073709572752
151,18446744073709572751,5657270,1706025767,1706025767,18446744073709572751
152,18446744073709572750,5671932,1706022155,1706022155,18446744073709572750
153,18446744073709572749,5642496,1706018675,1706018675,18446744073709572749
154,18446744073709572748,5670860,1706016791,1706016791,18446744073709572748
155,18446744073709572747,5678121,1706013155,1706013155,18446744073709572747
156,18446744073709572746,5708153,1706011751,1706011751,18446744073709572746
157,18446744073709572745,5729000,1706008115,1706008115,18446744073709572745
158,18446744073709572744,5716436,1706004479,1706004479,18446744073709572744
159,18446744073709572743,5687686,1706003975,1706003975,18446744073709572743
160,18446744073709572742,5717000,1706002607,1706002607,18446744073709572742
161,18446744073709572741,5751514,1706002235,1706002235,18446744073709572741
162,18446744073709572740,5785000,1706001815,1706001815,18446744073709572740
163,18446744073709572739,5815215,1706000195,1706000195,18446744073709572739
164,18446744073709572738,5838382,1705996583,1705996583,18446744073709572738
165,18446744073709572737,5863494,1705992959,1705992959,18446744073709572737
166,18446744073709572736,5856689,1705989323,1705989323,18446744073709572736
167,18446744073709572735,5851476,1705985699,1705985699,18446744073709572735
168,18446744073709572734,5847475,1705982063,1705982063,18446744073709572734
169,18446744073709572733,5838620,1705978427,1705978427,18446744073709572733
170,18446744073709572732,5858102,1705974803,1705974803,18446744073709572732
171,18446744073709572731,5836122,1705971191,1705971191,18446744073709572731
172,18446744073709572730,5847217,1705967591,1705967591,18446744073709572730
173,18446744073709572729,5820380,1705963967,1705963967,18446744073709572729
174,18446744073709572728,5829387,1705960331,1705960331,18446744073709572728
175,18446744073709572727,5820877,1705956707,1705956707,18446744073709572727
176,18446744073709572726,5847439,1705953083,1705953083,18446744073709572726
177,18446744073709572725,5868680,1705949435,1705949435,18446744073709572725
178,18446744073709572724,5836000,1705947035,1705947035,18446744073709572724
179,18446744073709572723,5825999,1705943411,1705943411,18446744073709572723
180,18446744073709572722,5839179,1705939775,1705939775,18446744073709572722
181,18446744073709572721,5833964,1705936139,1705936139,18446744073709572721
182,18446744073709572720,5837233,1705932515,1705932515,18446744073709572720
183,18446744073709572719,5816125,1705928879,1705928879,18446744073709572719
184,18446744073709572718,5830893,1705925255,1705925255,18446744073709572718
185,18446744073709572717,5846452,1705921619,1705921619,18446744073709572717
186,18446744073709572716,5854353,1705917983,1705917983,18446744073709572716
187,18446744073709572715,5884802,1705915739,1705915739,18446744073709572715
188,18446744073709572714,5892597,1705912103,1705912103,18446744073709572714
189,18446744073709572713,5905826,1705908467,1705908467,18446744073709572713
190,18446744073709572712,5905742,1705904843,1705904843,18446744073709572712
191,18446744073709572711,5908980,1705901207,1705901207,18446744073709572711
192,18446744073709572710,5905486,1705897571,1705897571,18446744073709572710
193,18446744073709572709,5898830,1705893947,1705893947,18446744073709572709
194,18446744073709572708,5900208,1705890335,1705890335,18446744073709572708
195,18446744073709572707,5900827,1705886735,1705886735,18446744073709572707
196,18446744073709572706,5912328,1705883135,1705883135,18446744073709572706
197,18446744073709572705,5905999,1705879511,1705879511,18446744073709572705
198,18446744073709572704,5909000,1705875899,1705875899,18446744073709572704
199,18446744073709572703,5922053,1705872287,1705872287,18446744073709572703
200,18446744073709572702,5926990,1705868639,1705868639,18446744073709572702
201,18446744073709572701,5936210,1705865015,1705865015,18446744073709572701
202,18446744073709572700,5938974,1705861379,1705861379,18446744073709572700
203,18446744073709572699,5939567,1705857743,1705857743,18446744073709572699
204,18446744073709572698,5929295,1705854119,1705854119,18446744073709572698
205,18446744073709572697,5925579,1705850507,1705850507,18446744073709572697
206,18446744073709572696,5926468,1705846883,1705846883,18446744073709572696
207,18446744073709572695,5925078,1705843247,1705843247,18446744073709572695
208,18446744073709572694,5920857,1705839623,1705839623,18446744073709572694
209,18446744073709572693,5933137,1705836011,1705836011,18446744073709572693
210,18446744073709572692,5936628,1705832387,1705832387,18446744073709572692
211,18446744073709572691,5935205,1705828751,1705828751,18446744073709572691
212,18446744073709572690,5941786,1705825127,1705825127,18446744073709572690
213,18446744073709572689,5932430,1705821515,1705821515,18446744073709572689
214,18446744073709572688,5939769,1705817891,1705817891,18446744073709572688
215,18446744073709572687,5937106,1705814255,1705814255,18446744073709572687
216,18446744073709572686,5936761,1705810631,1705810631,18446744073709572686
217,18446744073709572685,5941939,1705806995,1705806995,18446744073709572685
218,18446744073709572684,5930216,1705803359,1705803359,18446744073709572684
219,18446744073709572683,5922500,1705799747,1705799747,18446744073709572683
220,18446744073709572682,5921607,1705796123,1705796123,18446744073709572682
221,18446744073709572681,5923539,1705792499,1705792499,18446744073709572681
222,18446744073709572680,5912740,1705788863,1705788863,18446744073709572680
223,18446744073709572679,5905909,1705785239,1705785239,18446744073709572679
224,18446744073709572678,5913749,1705781627,1705781627,18446744073709572678
225,18446744073709572677,5907000,1705778003,1705778003,18446744073709572677
226,18446744073709572676,5913941,1705774367,1705774367,18446744073709572676
227,18446744073709572675,5912164,1705770743,1705770743,18446744073709572675
228,18446744073709572674,5925000,1705767107,1705767107,18446744073709572674
229,18446744073709572673,5935254,1705763471,1705763471,18446744073709572673
230,18446744073709572672,5932325,1705759847,1705759847,18446744073709572672
231,18446744073709572671,5933000,1705756211,1705756211,18446744073709572671
232,18446744073709572670,5932963,1705756127,1705756127,18446744073709572670
233,18446744073709572669,5940391,1705752455,1705752455,18446744073709572669
234,18446744073709572668,5946662,1705748831,1705748831,18446744073709572668
235,18446744073709572667,5939550,1705745219,1705745219,18446744073709572667
236,18446744073709572666,5953173,1705741571,1705741571,18446744073709572666
237,18446744073709572665,5950516,1705737935,1705737935,18446744073709572665
238,18446744073709572664,5957229,1705734299,1705734299,18446744073709572664
239,18446744073709572663,5952855,1705730687,1705730687,18446744073709572663
240,18446744073709572662,5965854,1705727039,1705727039,18446744073709572662
241,18446744073709572661,5959771,1705723403,1705723403,18446744073709572661
242,18446744073709572660,5975720,1705719779,1705719779,18446744073709572660
243,18446744073709572659,5974471,1705716143,1705716143,18446744073709572659
244,18446744073709572658,5967717,1705712507,1705712507,18446744073709572658
245,18446744073709572657,5979000,1705708883,1705708883,18446744073709572657
246,18446744073709572656,5975524,1705705259,1705705259,18446744073709572656
247,18446744073709572655,5977225,1705701623,1705701623,18446744073709572655
248,18446744073709572654,5972907,1705697987,1705697987,18446744073709572654
249,18446744073709572653,5934398,1705695491,1705695491,18446744073709572653
250,18446744073709572652,5965584,1705694207,1705694207,18446744073709572652
251,18446744073709572651,5965000,1705690571,1705690571,18446744073709572651
252,18446744073709572650,5997030,1705687991,1705687991,18446744073709572650
253,18446744073709572649,5992367,1705684355,1705684355,18446744073709572649
254,18446744073709572648,6007137,1705680731,1705680731,18446744073709572648
255,18446744073709572647,6041375,1705678931,1705678931,18446744073709572647
256,18446744073709572646,6048824,1705675295,1705675295,18446744073709572646
257,18446744073709572645,6022884,1705671659,1705671659,18446744073709572645
258,18446744073709572644,6011455,1705668035,1705668035,18446744073709572644
259,18446744073709572643,6004838,1705664399,1705664399,18446744073709572643
260,18446744073709572642,6009135,1705660763,1705660763,18446744073709572642
261,18446744073709572641,6000223,1705657139,1705657139,18446744073709572641
262,18446744073709572640,5979262,1705653503,1705653503,18446744073709572640
263,18446744073709572639,5962311,1705649879,1705649879,18446744073709572639
264,18446744073709572638,5969463,1705646183,1705646183,18446744073709572638
265,18446744073709572637,5984617,1705642547,1705642547,18446744073709572637
266,18446744073709572636,5983876,1705638911,1705638911,18446744073709572636
267,18446744073709572635,5995039,1705635287,1705635287,18446744073709572635
268,18446744073709572634,5965162,1705633391,1705633391,18446744073709572634
269,18446744073709572633,5968624,1705629755,1705629755,18446744073709572633
270,18446744073709572632,5973000,1705626131,1705626131,18446744073709572632
271,18446744073709572631,5978395,1705622495,1705622495,18446744073709572631
272,18446744073709572630,5972215,1705618859,1705618859,18446744073709572630
273,18446744073709572629,5977000,1705615235,1705615235,18446744073709572629
274,18446744073709572628,5983831,1705611599,1705611599,18446744073709572628
275,18446744073709572627,5950299,1705609103,1705609103,18446744073709572627
276,18446744073709572626,5960010,1705605479,1705605479,18446744073709572626
277,18446744073709572625,5936364,1705601843,1705601843,18446744073709572625
278,18446744073709572624,5922999,1705598207,1705598207,18446744073709572624
279,18446744073709572623,5926090,1705594583,1705594583,18446744073709572623
280,18446744073709572622,5923958,1705590947,1705590947,18446744073709572622
281,18446744073709572621,5926133,1705587311,1705587311,18446744073709572621
282,18446744073709572620,5914430,1705583687,1705583687,18446744073709572620
283,18446744073709572619,5932859,1705580051,1705580051,18446744073709572619
284,18446744073709572618,5933201,1705576415,1705576415,18446744073709572618
285,18446744073709572617,5941373,1705572791,1705572791,18446744073709572617
286,18446744073709572616,5951088,1705569155,1705569155,18446744073709572616
